# GOLD STANDARD - NER Manual Annotations
# Created: 2025-11-16
# Sample: 9 folders (20% of corpus), 5 documents each = 45 documents
# Annotator: Claude Code
#
# Format per line: FOLDER|DOCUMENT|TYPE|ENTITY
# Types: PERSON, ORGANIZATION, LOCATION

## DOSSIER: R1048-13C-29913-23516

R1049-13C-54922-23516|doc01|ORGANIZATION|REGISTRY
R1049-13C-54922-23516|doc01|ORGANIZATION|INTELLECTUAL CO-OPERATION
R1049-13C-54922-23516|doc01|ORGANIZATION|Bur. O. F.
R1049-13C-54922-23516|doc01|ORGANIZATION|Sub. Bur. S. - I.
R1049-13C-54922-23516|doc02|ORGANIZATION|Reqisity
R1049-13C-54922-23516|doc03|PERSON|Dr. Claire Richter
R1049-13C-54922-23516|doc03|ORGANIZATION|Kentrum
R1049-13C-54922-23516|doc03|LOCATION|Berlin NW 7
R1049-13C-54922-23516|doc03|LOCATION|Neue Wilhelmst. 8a
R1049-13C-54922-23516|doc04|ORGANIZATION|REGISTRY
R1049-13C-54922-23516|doc05|PERSON|Descartes
R1049-13C-54922-23516|doc05|PERSON|Leibniz
R1049-13C-54922-23516|doc05|PERSON|Werner Fraustätter
R1049-13C-54922-23516|doc05|PERSON|Couturat
R1049-13C-54922-23516|doc05|PERSON|Leek
R1049-13C-54922-23516|doc05|PERSON|Schleyers
R1049-13C-54922-23516|doc05|PERSON|Dr. Ludwig Zamenhofs
R1049-13C-54922-23516|doc05|PERSON|Dr. Esperanto
R1049-13C-54922-23516|doc05|PERSON|Zamenhof
R1049-13C-54922-23516|doc05|PERSON|Wilhelm Ostwald
R1049-13C-54922-23516|doc05|PERSON|Otto Jespersen
R1049-13C-54922-23516|doc05|PERSON|de Beaufront
R1049-13C-54922-23516|doc05|PERSON|L.de Beaufront
R1049-13C-54922-23516|doc05|PERSON|Dr. Alberto Liptay
R1049-13C-54922-23516|doc05|PERSON|Professor Jespersen
R1049-13C-54922-23516|doc05|ORGANIZATION|Musum Verlag C.F.Delff
R1049-13C-54922-23516|doc05|ORGANIZATION|Hachette
R1049-13C-54922-23516|doc05|ORGANIZATION|Delegation für die Annahme einer internationalen Hilfssprache
R1049-13C-54922-23516|doc05|ORGANIZATION|Universität Kopenhagen
R1049-13C-54922-23516|doc05|LOCATION|Warschauer
R1049-13C-54922-23516|doc05|LOCATION|Paris
R1049-13C-54922-23516|doc05|LOCATION|Luxemburg
R1049-13C-54922-23516|doc05|LOCATION|Leipzig

## DOSSIER: R1049-13C-40716-23516

R1049-13C-40716-23516|doc02|PERSON|Dr. Edmond Privat
R1049-13C-40716-23516|doc02|PERSON|Dr. Nitobe
R1049-13C-40716-23516|doc02|PERSON|M. Schneeberger
R1049-13C-40716-23516|doc02|ORGANIZATION|Comité international de l'Esperanto
R1049-13C-40716-23516|doc02|ORGANIZATION|League
R1049-13C-40716-23516|doc02|ORGANIZATION|Secretariat
R1049-13C-40716-23516|doc02|ORGANIZATION|Assembly
R1049-13C-40716-23516|doc02|ORGANIZATION|Second Committee
R1049-13C-40716-23516|doc02|ORGANIZATION|International Bureau
R1049-13C-40716-23516|doc02|LOCATION|GENEVA
R1049-13C-40716-23516|doc02|LOCATION|Geneve
R1049-13C-40716-23516|doc03|PERSON|M. Schneeberger
R1049-13C-40716-23516|doc03|PERSON|Kls
R1049-13C-40716-23516|doc04|PERSON|Dr Edmond PRIVAT
R1049-13C-40716-23516|doc04|PERSON|Monsieur le Dr. I. NITOBE
R1049-13C-40716-23516|doc04|PERSON|M. Schneeberger
R1049-13C-40716-23516|doc04|ORGANIZATION|COMITÉ INTERNATIONAL DE L'ESPERANTO
R1049-13C-40716-23516|doc04|ORGANIZATION|Société des Nations
R1049-13C-40716-23516|doc04|ORGANIZATION|Union pour la Création d'un bureau de la langue universelle
R1049-13C-40716-23516|doc04|ORGANIZATION|Société Idiste
R1049-13C-40716-23516|doc04|ORGANIZATION|Deuxième Commission
R1049-13C-40716-23516|doc04|LOCATION|Genève
R1049-13C-40716-23516|doc04|LOCATION|Boulevard du Théâtre
R1049-13C-40716-23516|doc04|LOCATION|Chemin de Roches
R1049-13C-40716-23516|doc04|LOCATION|Paris
R1049-13C-40716-23516|doc05|PERSON|Dr Edmond PRIVAT
R1049-13C-40716-23516|doc05|PERSON|Monsieur le Dr. Nitobé
R1049-13C-40716-23516|doc05|PERSON|M. Schneeberger
R1049-13C-40716-23516|doc05|PERSON|Edmond Privat
R1049-13C-40716-23516|doc05|ORGANIZATION|COMITÉ INTERNATIONAL DE L'ESPERANTO
R1049-13C-40716-23516|doc05|ORGANIZATION|Société des Nations
R1049-13C-40716-23516|doc05|ORGANIZATION|Deuxième Commission
R1049-13C-40716-23516|doc05|ORGANIZATION|Union pour la création d'un Bureau de la langue Universelle
R1049-13C-40716-23516|doc05|ORGANIZATION|Société Espérantiste Suisse
R1049-13C-40716-23516|doc05|LOCATION|Genève
R1049-13C-40716-23516|doc05|LOCATION|GENEVE
R1049-13C-40716-23516|doc05|LOCATION|Boulevard du Théâtre
R1049-13C-40716-23516|doc05|LOCATION|Chemin de Roches
R1049-13C-40716-23516|doc05|LOCATION|Berne

## DOSSIER: R1049-13C-40447-23516

R1049-13C-40447-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1049-13C-40447-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1049-13C-40447-23516|doc01|ORGANIZATION|REGISTRY
R1049-13C-40447-23516|doc01|ORGANIZATION|INTERNAT. BURG
R1049-13C-40447-23516|doc01|ORGANIZATION|II. INB. BURGUESA
R1049-13C-40447-23516|doc02|PERSON|Hans Hansson
R1049-13C-40447-23516|doc02|PERSON|Privat
R1049-13C-40447-23516|doc02|ORGANIZATION|Sueda Ido-Federuro
R1049-13C-40447-23516|doc02|ORGANIZATION|Ligo di Nacioni
R1049-13C-40447-23516|doc02|ORGANIZATION|REGISTRY
R1049-13C-40447-23516|doc02|LOCATION|HOTING
R1049-13C-40447-23516|doc02|LOCATION|Suedia
R1049-13C-40447-23516|doc03|PERSON|Dr. Nitobé
R1049-13C-40447-23516|doc03|PERSON|K. H.
R1049-13C-40447-23516|doc03|PERSON|Hans Larsson
R1049-13C-40447-23516|doc03|PERSON|Sans Larsson
R1049-13C-40447-23516|doc03|PERSON|Inazo Nitobe
R1049-13C-40447-23516|doc03|PERSON|Sro Privat
R1049-13C-40447-23516|doc03|ORGANIZATION|League of Nations
R1049-13C-40447-23516|doc03|ORGANIZATION|Second Committee of the Assembly
R1049-13C-40447-23516|doc03|ORGANIZATION|International Bureau
R1049-13C-40447-23516|doc03|ORGANIZATION|Fédération idiste suédoise
R1049-13C-40447-23516|doc03|ORGANIZATION|Sueda Ido-Federuro
R1049-13C-40447-23516|doc03|ORGANIZATION|Ligo di Nacioni
R1049-13C-40447-23516|doc03|LOCATION|GENEVA
R1049-13C-40447-23516|doc03|LOCATION|Geneve
R1049-13C-40447-23516|doc03|LOCATION|HOTING
R1049-13C-40447-23516|doc03|LOCATION|Suède
R1049-13C-40447-23516|doc03|LOCATION|Suisse
R1049-13C-40447-23516|doc04|ORGANIZATION|SOCIETE DES NATIONS
R1049-13C-40447-23516|doc04|ORGANIZATION|LEAGUE OF NATIONS
R1049-13C-40447-23516|doc04|ORGANIZATION|Registry
R1049-13C-40447-23516|doc04|ORGANIZATION|Intellectual Cooperation
R1049-13C-40447-23516|doc05|ORGANIZATION|INTELLECTUAL CO-OPERATION

## DOSSIER: R1049-13C-51702-23516

R1049-13C-51702-23516|doc01|PERSON|L. Lange
R1049-13C-51702-23516|doc01|PERSON|M. S.
R1049-13C-51702-23516|doc01|PERSON|H. Waller
R1049-13C-51702-23516|doc01|PERSON|S.M.
R1049-13C-51702-23516|doc01|PERSON|M. Waller
R1049-13C-51702-23516|doc01|PERSON|H. Wilson
R1049-13C-51702-23516|doc01|PERSON|Prof. Ellis
R1049-13C-51702-23516|doc01|PERSON|H. von Seefrieden
R1049-13C-51702-23516|doc01|PERSON|Dr. Nitsche
R1049-13C-51702-23516|doc01|PERSON|Ken Harawa
R1049-13C-51702-23516|doc01|PERSON|J.V. Wilson
R1049-13C-51702-23516|doc01|PERSON|S.V. Wilson
R1049-13C-51702-23516|doc01|PERSON|Dierdre Combet
R1049-13C-51702-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1049-13C-51702-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1049-13C-51702-23516|doc01|ORGANIZATION|REGISTRY
R1049-13C-51702-23516|doc01|ORGANIZATION|Secrétariat de la Société des Nations
R1049-13C-51702-23516|doc01|ORGANIZATION|Comité International de l'Esperanto
R1049-13C-51702-23516|doc01|ORGANIZATION|Section d'Information
R1049-13C-51702-23516|doc01|ORGANIZATION|Transit S.P.
R1049-13C-51702-23516|doc01|ORGANIZATION|Int. Bureau S.M.
R1049-13C-51702-23516|doc01|ORGANIZATION|International Bureau
R1049-13C-51702-23516|doc01|ORGANIZATION|Tekstik Sektor
R1049-13C-51702-23516|doc01|LOCATION|Genève
R1049-13C-51702-23516|doc01|LOCATION|Edinburgh
R1049-13C-51702-23516|doc02|PERSON|FD
R1049-13C-51702-23516|doc02|ORGANIZATION|Secretariat of the League of Nations
R1049-13C-51702-23516|doc02|ORGANIZATION|The International Committee on Esperanto
R1049-13C-51702-23516|doc02|LOCATION|GENEVA
R1049-13C-51702-23516|doc02|LOCATION|Edinburgh
R1049-13C-51702-23516|doc02|LOCATION|Boulevard du Théâtre, GENEVE
R1049-13C-51702-23516|doc03|PERSON|EDMOND PRIVAT
R1049-13C-51702-23516|doc03|PERSON|ROLLET DE L'ISLE
R1049-13C-51702-23516|doc03|PERSON|J. DIETTERLE
R1049-13C-51702-23516|doc03|PERSON|JULIA C. ISBRÜCKER
R1049-13C-51702-23516|doc03|PERSON|WON KENN
R1049-13C-51702-23516|doc03|PERSON|E. LEGRAND
R1049-13C-51702-23516|doc03|PERSON|ANDREO Œ
R1049-13C-51702-23516|doc03|PERSON|Rordens
R1049-13C-51702-23516|doc03|ORGANIZATION|INTERNACIA CENTRA KOMITATO DE LA ESPERANTO-MOVADO
R1049-13C-51702-23516|doc03|ORGANIZATION|Société des Nations
R1049-13C-51702-23516|doc03|ORGANIZATION|B.I.T.
R1049-13C-51702-23516|doc03|ORGANIZATION|COMITE INTERNATIONAL de L'ESPERANTO
R1049-13C-51702-23516|doc03|LOCATION|GENÈVE
R1049-13C-51702-23516|doc03|LOCATION|Boulevard du Théâtre, Genève
R1049-13C-51702-23516|doc03|LOCATION|rue Sommerard, Paris V
R1049-13C-51702-23516|doc03|LOCATION|Leipzig-Schl.
R1049-13C-51702-23516|doc03|LOCATION|Kanton
R1049-13C-51702-23516|doc03|LOCATION|Montevideo
R1049-13C-51702-23516|doc03|LOCATION|Edinbourg
R1049-13C-51702-23516|doc04|ORGANIZATION|Conseil Municipal
R1049-13C-51702-23516|doc04|ORGANIZATION|Ecole des Beaux-Arts
R1049-13C-51702-23516|doc04|LOCATION|EDIMBOURG
R1049-13C-51702-23516|doc04|LOCATION|cathédrale Ste Giles
R1049-13C-51702-23516|doc04|LOCATION|cathédrale S-te Marie
R1049-13C-51702-23516|doc04|LOCATION|Lauriston
R1049-13C-51702-23516|doc04|LOCATION|fjords de Clyde
R1049-13C-51702-23516|doc04|LOCATION|Palais de Danse, Fountainbridge
R1049-13C-51702-23516|doc05|PERSON|Capt Waltz
R1049-13C-51702-23516|doc05|PERSON|Ken Harada
R1049-13C-51702-23516|doc05|PERSON|Dr. Nitohe
R1049-13C-51702-23516|doc05|PERSON|JWaltz
R1049-13C-51702-23516|doc05|PERSON|WML
R1049-13C-51702-23516|doc05|ORGANIZATION|Information Section
R1049-13C-51702-23516|doc05|ORGANIZATION|Transit Section
R1049-13C-51702-23516|doc05|ORGANIZATION|Section of International Bureaux
R1049-13C-51702-23516|doc05|ORGANIZATION|Intellectual Cooperation Committee
R1049-13C-51702-23516|doc05|ORGANIZATION|Transit Office

## DOSSIER: R1049-13C-44723-23516

R1049-13C-44723-23516|doc01|PERSON|Nitobe
R1049-13C-44723-23516|doc01|PERSON|Mr. Sweetser
R1049-13C-44723-23516|doc01|PERSON|H. Walters
R1049-13C-44723-23516|doc01|PERSON|Mrs. Johnstone
R1049-13C-44723-23516|doc01|PERSON|Mr. Norris
R1049-13C-44723-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1049-13C-44723-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1049-13C-44723-23516|doc01|ORGANIZATION|International Auxiliary Language Association
R1049-13C-44723-23516|doc01|LOCATION|United States
R1049-13C-44723-23516|doc02|PERSON|Sir Eric Drummond
R1049-13C-44723-23516|doc02|PERSON|Alice V. Morris
R1049-13C-44723-23516|doc02|PERSON|Otto Jespersen
R1049-13C-44723-23516|doc03|PERSON|Alice V. Morris
R1049-13C-44723-23516|doc04|PERSON|Mrs. Dave H. Morris
R1049-13C-44723-23516|doc04|LOCATION|New York City
R1049-13C-44723-23516|doc04|LOCATION|East, 70th Street
R1049-13C-44723-23516|doc05|PERSON|Sir Eric Drummond
R1049-13C-44723-23516|doc05|PERSON|Mrs. Dave H. Morris
R1049-13C-44723-23516|doc05|ORGANIZATION|Grand Hôtel des Salines
R1049-13C-44723-23516|doc05|LOCATION|GENEVA
R1049-13C-44723-23516|doc05|LOCATION|Bex-les-Bains
R1049-13C-44723-23516|doc05|LOCATION|SUISSE

## DOSSIER: R1048-13C-24630-23516

R1048-13C-24630-23516|doc01|PERSON|Herr Lauterbach
R1048-13C-24630-23516|doc01|PERSON|Herr Driesler
R1048-13C-24630-23516|doc01|PERSON|Dr. Hitsche
R1048-13C-24630-23516|doc01|PERSON|Mr. Walter
R1048-13C-24630-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1048-13C-24630-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-24630-23516|doc01|ORGANIZATION|Magistrat
R1048-13C-24630-23516|doc01|ORGANIZATION|Boys' Intermediate School
R1048-13C-24630-23516|doc01|ORGANIZATION|REGISTRY
R1048-13C-24630-23516|doc01|LOCATION|Breslau
R1048-13C-24630-23516|doc01|LOCATION|Geneva
R1048-13C-24630-23516|doc02|PERSON|Stadtschulrat Lauterbach
R1048-13C-24630-23516|doc02|PERSON|Herr Driesler
R1048-13C-24630-23516|doc02|PERSON|I.N.
R1048-13C-24630-23516|doc02|ORGANIZATION|Magistrat der Hauptstadt Breslau
R1048-13C-24630-23516|doc02|ORGANIZATION|Städtische Schulverwaltung
R1048-13C-24630-23516|doc02|ORGANIZATION|League of Nations
R1048-13C-24630-23516|doc02|ORGANIZATION|Secretariat
R1048-13C-24630-23516|doc02|ORGANIZATION|Committee on Intellectual Cooperation
R1048-13C-24630-23516|doc02|ORGANIZATION|Section of International Bureau
R1048-13C-24630-23516|doc02|LOCATION|Geneva
R1048-13C-24630-23516|doc02|LOCATION|Breslau
R1048-13C-24630-23516|doc03|PERSON|Herr Mittelschulrektors Driesler
R1048-13C-24630-23516|doc03|PERSON|Dr. Lauterbach
R1048-13C-24630-23516|doc03|ORGANIZATION|Magistrat der Hauptstadt Breslau
R1048-13C-24630-23516|doc03|ORGANIZATION|Städtische Schulverwaltung
R1048-13C-24630-23516|doc03|ORGANIZATION|Stadthauptkasse
R1048-13C-24630-23516|doc03|ORGANIZATION|Reichsbank
R1048-13C-24630-23516|doc03|ORGANIZATION|Völkerbund
R1048-13C-24630-23516|doc03|LOCATION|Breslau
R1048-13C-24630-23516|doc03|LOCATION|Schlesien
R1048-13C-24630-23516|doc03|LOCATION|Genf
R1048-13C-24630-23516|doc04|PERSON|Driesler
R1048-13C-24630-23516|doc04|PERSON|Dr. Lauterbach
R1048-13C-24630-23516|doc04|ORGANIZATION|Stadt Rath
R1048-13C-24630-23516|doc04|ORGANIZATION|Knaben-Mittelschule II
R1048-13C-24630-23516|doc04|ORGANIZATION|Ligue des Nations
R1048-13C-24630-23516|doc04|ORGANIZATION|commission allemande d'assainissage d'espéranto pour la Silésie
R1048-13C-24630-23516|doc04|ORGANIZATION|école primaire supérieure municipale catholique pour des garçons No. II
R1048-13C-24630-23516|doc04|LOCATION|Breslau
R1048-13C-24630-23516|doc04|LOCATION|chemin des jardiniers 4
R1048-13C-24630-23516|doc04|LOCATION|Güterweg 11
R1048-13C-24630-23516|doc04|LOCATION|Genève
R1048-13C-24630-23516|doc04|LOCATION|Silésie
R1048-13C-24630-23516|doc05|PERSON|Dr. Lauterbach
R1048-13C-24630-23516|doc05|PERSON|Driesler
R1048-13C-24630-23516|doc05|ORGANIZATION|Städt. Kath. Knaben-Mittelschule II
R1048-13C-24630-23516|doc05|ORGANIZATION|Hohen Völkerbund
R1048-13C-24630-23516|doc05|ORGANIZATION|Städtische Verwaltung
R1048-13C-24630-23516|doc05|ORGANIZATION|städtischen Schulbehörde
R1048-13C-24630-23516|doc05|ORGANIZATION|Deutsche Esperanto-Prüfungskommission für Schlesien
R1048-13C-24630-23516|doc05|LOCATION|Breslau
R1048-13C-24630-23516|doc05|LOCATION|Gärtnereig. 11
R1048-13C-24630-23516|doc05|LOCATION|Schlesien

## NOTE: R1048-13C-25754-23516 et R1048-13C-23516-23516 déjà annotés manuellement
## Voir fichiers: outputs/tests/ner_manuel_R1048-13C-25754-23516.txt (à convertir)
##               et annotations existantes pour R1048-13C-23516-23516

## DOSSIER: R1048-13C-25754-23516

R1048-13C-25754-23516|doc01|PERSON|Dr. Nitobe
R1048-13C-25754-23516|doc01|PERSON|Mr. Villari
R1048-13C-25754-23516|doc01|PERSON|Professor Attolico
R1048-13C-25754-23516|doc01|PERSON|Mr. Walters
R1048-13C-25754-23516|doc01|PERSON|Mr. Harada
R1048-13C-25754-23516|doc01|PERSON|M. Wallis
R1048-13C-25754-23516|doc01|PERSON|Prof. Kalecki
R1048-13C-25754-23516|doc01|PERSON|Prof. Attolico
R1048-13C-25754-23516|doc01|PERSON|Mr. Nitobe
R1048-13C-25754-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1048-13C-25754-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-25754-23516|doc01|ORGANIZATION|Economic Section
R1048-13C-25754-23516|doc01|ORGANIZATION|Bureaux Internes
R1048-13C-25754-23516|doc01|ORGANIZATION|INTELLECTUAL CO-OPERATION INTERNATIONAL BUREAUX
R1048-13C-25754-23516|doc01|ORGANIZATION|REGISTRY
R1048-13C-25754-23516|doc02|PERSON|CH.
R1048-13C-25754-23516|doc02|ORGANIZATION|Commission de Coopération Intellectuelle
R1048-13C-25754-23516|doc02|ORGANIZATION|Chambre de Commerce Italienne pour la Suisse
R1048-13C-25754-23516|doc02|LOCATION|Geneva
R1048-13C-25754-23516|doc02|LOCATION|Genève
R1048-13C-25754-23516|doc02|LOCATION|Place Bel Air
R1048-13C-25754-23516|doc03|PERSON|G. DE MICHELIS
R1048-13C-25754-23516|doc03|PERSON|G. Quicherago
R1048-13C-25754-23516|doc03|PERSON|J. Raff
R1048-13C-25754-23516|doc03|ORGANIZATION|CAMERA DI COMMERCIO ITALIANA PER LA SVIZZERA
R1048-13C-25754-23516|doc03|ORGANIZATION|CHAMBRE DE COMMERCE ITALIENNE POUR LA SUISSE
R1048-13C-25754-23516|doc03|ORGANIZATION|ITALIENISCHE HANDELSKAMMER FÜR DIE SCHWEIZ
R1048-13C-25754-23516|doc03|ORGANIZATION|COMMISSION DE COOPERATION INTELLECTUELLE
R1048-13C-25754-23516|doc03|ORGANIZATION|Société des Nations
R1048-13C-25754-23516|doc03|ORGANIZATION|Conférence commerciale de Venise
R1048-13C-25754-23516|doc03|LOCATION|GINEVRA
R1048-13C-25754-23516|doc03|LOCATION|GENEVA
R1048-13C-25754-23516|doc03|LOCATION|GENEVE
R1048-13C-25754-23516|doc03|LOCATION|Venise
R1048-13C-25754-23516|doc03|LOCATION|PLACE BEL-AIR
R1048-13C-25754-23516|doc04|PERSON|S. E. le Ministre de l'Industrie et du Commerce d'Italie
R1048-13C-25754-23516|doc04|ORGANIZATION|CAMERA DI COMMERCIO ITALIANA PER LA SVIZZERA
R1048-13C-25754-23516|doc04|ORGANIZATION|Chambre de Commerce Italienne pour la Suisse
R1048-13C-25754-23516|doc04|ORGANIZATION|Italienische Handelskammer für die Schweiz
R1048-13C-25754-23516|doc04|ORGANIZATION|Chambre de Commerce de Venise
R1048-13C-25754-23516|doc04|ORGANIZATION|CHAMBRES DE COMMERCE
R1048-13C-25754-23516|doc04|ORGANIZATION|FOIRES D'ECHANTILLONS
R1048-13C-25754-23516|doc04|ORGANIZATION|GROUPEMENTS ÉCONOMIQUES
R1048-13C-25754-23516|doc04|ORGANIZATION|OFFICES DU TOURISME
R1048-13C-25754-23516|doc04|LOCATION|GINEVRA
R1048-13C-25754-23516|doc04|LOCATION|GENÈVE
R1048-13C-25754-23516|doc04|LOCATION|place Bel-Air
R1048-13C-25754-23516|doc04|LOCATION|VENISE
R1048-13C-25754-23516|doc05|PERSON|M. John Merchant
R1048-13C-25754-23516|doc05|PERSON|M. André Baudet
R1048-13C-25754-23516|doc05|PERSON|M. le Professeur Ravizza
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce de Venise
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce de Paris
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce de Londres
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce de Sheffield
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce et de la Foire de Paris
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce de Milan
R1048-13C-25754-23516|doc05|ORGANIZATION|Chambre de Commerce Italienne pour la Suisse
R1048-13C-25754-23516|doc05|ORGANIZATION|Ecole commerciale de la Rive gauche de Paris
R1048-13C-25754-23516|doc05|LOCATION|Venise
R1048-13C-25754-23516|doc05|LOCATION|Paris
R1048-13C-25754-23516|doc05|LOCATION|Londres
R1048-13C-25754-23516|doc05|LOCATION|Sheffield
R1048-13C-25754-23516|doc05|LOCATION|Milan
R1048-13C-25754-23516|doc05|LOCATION|Genève
R1048-13C-25754-23516|doc05|LOCATION|Place Bel-Air

## DOSSIER: R1048-13C-23516-23516

R1048-13C-23516-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1048-13C-23516-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-23516-23516|doc01|ORGANIZATION|INTERNATIONAL BUREAUX
R1048-13C-23516-23516|doc01|ORGANIZATION|REGISTRY
R1048-13C-23516-23516|doc01|ORGANIZATION|3rd Assembly
R1048-13C-23516-23516|doc01|ORGANIZATION|League
R1048-13C-23516-23516|doc01|ORGANIZATION|5th Committee
R1048-13C-23516-23516|doc01|ORGANIZATION|3rd Assembly
R1048-13C-23516-23516|doc01|ORGANIZATION|Assembly
R1048-13C-23516-23516|doc01|ORGANIZATION|C.I.C.I.
R1048-13C-23516-23516|doc01|PERSON|M. Bergson
R1048-13C-23516-23516|doc02|PERSON|Madame Curie-Skłodowska
R1048-13C-23516-23516|doc02|ORGANIZATION|Commission de Coopération Intellectuelle
R1048-13C-23516-23516|doc02|ORGANIZATION|Secrétariat
R1048-13C-23516-23516|doc02|ORGANIZATION|Institut de Radium
R1048-13C-23516-23516|doc02|LOCATION|Genève
R1048-13C-23516-23516|doc02|LOCATION|Paris
R1048-13C-23516-23516|doc02|LOCATION|rue Pierre Curie
R1048-13C-23516-23516|doc03|PERSON|L. de Torres Quevedo
R1048-13C-23516-23516|doc03|PERSON|Dr. Milliken
R1048-13C-23516-23516|doc03|PERSON|Prof. Gilbert Murray
R1048-13C-23516-23516|doc03|PERSON|Prof. D. N. Bannerjeea
R1048-13C-23516-23516|doc03|PERSON|Mlle. Bonnevie
R1048-13C-23516-23516|doc03|ORGANIZATION|Commission de Coopération Intellectuelle
R1048-13C-23516-23516|doc03|ORGANIZATION|Secrétariat
R1048-13C-23516-23516|doc03|ORGANIZATION|Assemblée
R1048-13C-23516-23516|doc03|ORGANIZATION|Committee on Intellectual Co-operation
R1048-13C-23516-23516|doc03|ORGANIZATION|Secretariat
R1048-13C-23516-23516|doc03|ORGANIZATION|Second Assembly
R1048-13C-23516-23516|doc03|ORGANIZATION|Third Assembly
R1048-13C-23516-23516|doc03|ORGANIZATION|Laboratoire Electro-Mécanique
R1048-13C-23516-23516|doc03|ORGANIZATION|California Institute of Technology
R1048-13C-23516-23516|doc03|ORGANIZATION|Rheinische Credit Bank
R1048-13C-23516-23516|doc03|ORGANIZATION|Laboratoire zoologique de l'Universite
R1048-13C-23516-23516|doc03|LOCATION|Genève
R1048-13C-23516-23516|doc03|LOCATION|GENEVA
R1048-13C-23516-23516|doc03|LOCATION|Madrid
R1048-13C-23516-23516|doc03|LOCATION|Espagne
R1048-13C-23516-23516|doc03|LOCATION|Valgame Dios
